friendlier_id_hud_acs_5yr_chas_estimate_data_by_county_2016_2020_fields,field_name,field_type_hud_acs_5yr_chas_estimate_data_by_county_2016_2020_fields,definition_hud_acs_5yr_chas_estimate_data_by_county_2016_2020_fields,friendlier_id_hud_acs_5yr_chas_estimate_data_by_county_2016_2020_fields2,definition_hud_acs_5yr_chas_estimate_data_by_county_2016_2020_fields2,match_status,unmatched_source
b1g_joGbEOvFDroC,T5_GT100_ELD,esriFieldTypeInteger,T5_GT100_ELD,b1g_joGbEOvFDroC,Household income is greater than 100% of HAMFI AND household contains at least 1 person age 62-74 but no one age 75+,matched,
b1g_joGbEOvFDroC,T5_LE30_XELD,esriFieldTypeInteger,T5_LE30_XELD,b1g_joGbEOvFDroC,Household income is less than or equal to 30% of HAMFI AND household contains at least 1 person age 75+,matched,
b1g_joGbEOvFDroC,T5_GT30_LE50_XELD,esriFieldTypeInteger,T5_GT30_LE50_XELD,b1g_joGbEOvFDroC,Household income is greater than 30% but less than or equal to 50% of HAMFI AND household contains at least 1 person age 75+,matched,
b1g_joGbEOvFDroC,T5_GT50_LE80_XELD,esriFieldTypeInteger,T5_GT50_LE80_XELD,b1g_joGbEOvFDroC,Household income is greater than 50% but less than or equal to 80% of HAMFI AND household contains at least 1 person age 75+,matched,
b1g_joGbEOvFDroC,T5_GT80_LE100_XELD,esriFieldTypeInteger,T5_GT80_LE100_XELD,b1g_joGbEOvFDroC,Household income is greater than 80% but less than or equal to 100% of HAMFI AND household contains at least 1 person age 75+,matched,
b1g_joGbEOvFDroC,T5_GT100_XELD,esriFieldTypeInteger,T5_GT100_XELD,b1g_joGbEOvFDroC,Household income is greater than 100% of HAMFI AND household contains at least 1 person age 75+,matched,
b1g_joGbEOvFDroC,T1_HP,esriFieldTypeDouble,T1_HP,b1g_joGbEOvFDroC,Has one of the 4 housing unit problems,matched,
b1g_joGbEOvFDroC,T2_HP2,esriFieldTypeDouble,T2_HP2,b1g_joGbEOvFDroC,Has one of the 4 severe housing unit problems,matched,
b1g_joGbEOvFDroC,T3_SUBST,esriFieldTypeDouble,T3_SUBST,b1g_joGbEOvFDroC,Lacks complete plumbing or kitchen facilities,matched,
b1g_joGbEOvFDroC,T8_CB50,esriFieldTypeDouble,T8_CB50,b1g_joGbEOvFDroC,Housing cost burden greater than 50%,matched,
b1g_joGbEOvFDroC,T8_CB,esriFieldTypeDouble,T8_CB,b1g_joGbEOvFDroC,Housing cost burden greater than 30%,matched,
b1g_joGbEOvFDroC,T8_EST23,esriFieldTypeInteger,T8_EST23,b1g_joGbEOvFDroC,Owner occupied AND household income is greater than 30% but less than or equal to 50% of HAMFI AND housing cost burden is greater than 50%,matched,
b1g_joGbEOvFDroC,T8_EST89,esriFieldTypeInteger,T8_EST89,b1g_joGbEOvFDroC,Renter occupied AND household income is greater than 30% but less than or equal to 50% of HAMFI AND housing cost burden is greater than 50%,matched,
b1g_joGbEOvFDroC,T8_GT30_LE50_CB50,esriFieldTypeInteger,T8_GT30_LE50_CB50,b1g_joGbEOvFDroC,Household income is greater than 30% but less than or equal to 50% of HAMFI AND housing cost burden is greater than 50%,matched,
b1g_joGbEOvFDroC,T8_EST36,esriFieldTypeInteger,T8_EST36,b1g_joGbEOvFDroC,Owner occupied AND household income is greater than 50% but less than or equal to 80% of HAMFI AND housing cost burden is greater than 50%,matched,
b1g_joGbEOvFDroC,T8_EST102,esriFieldTypeInteger,T8_EST102,b1g_joGbEOvFDroC,Renter occupied AND household income is greater than 50% but less than or equal to 80% of HAMFI AND housing cost burden is greater than 50%,matched,
b1g_joGbEOvFDroC,T8_GT50_LE80_CB50,esriFieldTypeInteger,T8_GT50_LE80_CB50,b1g_joGbEOvFDroC,Household income is greater than 50% but less than or equal to 80% of HAMFI AND housing cost burden is greater than 50%,matched,
b1g_joGbEOvFDroC,T8_EST49,esriFieldTypeInteger,T8_EST49,b1g_joGbEOvFDroC,Owner occupied AND household income is greater than 80% but less than or equal to 100% of HAMFI AND housing cost burden is greater than 50%,matched,
b1g_joGbEOvFDroC,T8_EST115,esriFieldTypeInteger,T8_EST115,b1g_joGbEOvFDroC,Renter occupied AND household income is greater than 80% but less than or equal to 100% of HAMFI AND housing cost burden is greater than 50%,matched,
b1g_joGbEOvFDroC,T8_GT80_LE100_CB50,esriFieldTypeInteger,T8_GT80_LE100_CB50,b1g_joGbEOvFDroC,Household income is greater than 80% but less than or equal to 100% of HAMFI AND housing cost burden is greater than 50%,matched,
b1g_joGbEOvFDroC,T8_GT30_LE50_CB_O,esriFieldTypeInteger,T8_GT30_LE50_CB_O,b1g_joGbEOvFDroC,Owner occupied AND household income is greater than 30% but less than or equal to 50% of HAMFI AND housing cost burden is greater than 30%,matched,
b1g_joGbEOvFDroC,T8_GT30_LE50_CB_R,esriFieldTypeInteger,T8_GT30_LE50_CB_R,b1g_joGbEOvFDroC,Renter occupied AND household income is greater than 30% but less than or equal to 50% of HAMFI AND housing cost burden is greater than 30%,matched,
b1g_joGbEOvFDroC,T8_GT30_LE50_CB,esriFieldTypeDouble,T8_GT30_LE50_CB,b1g_joGbEOvFDroC,Household income is greater than 30% but less than or equal to 50% of HAMFI AND housing cost burden is greater than 30%,matched,
b1g_joGbEOvFDroC,T8_GT50_LE80_CB_O,esriFieldTypeInteger,T8_GT50_LE80_CB_O,b1g_joGbEOvFDroC,Owner occupied AND household income is greater than 50% but less than or equal to 80% of HAMFI AND housing cost burden is greater than 30%,matched,
b1g_joGbEOvFDroC,T8_GT50_LE80_CB_R,esriFieldTypeInteger,T8_GT50_LE80_CB_R,b1g_joGbEOvFDroC,Renter occupied AND household income is greater than 50% but less than or equal to 80% of HAMFI AND housing cost burden is greater than 30%,matched,
b1g_joGbEOvFDroC,T8_GT50_LE80_CB,esriFieldTypeDouble,T8_GT50_LE80_CB,b1g_joGbEOvFDroC,Household income is greater than 50% but less than or equal to 80% of HAMFI AND housing cost burden is greater than 30%,matched,
b1g_joGbEOvFDroC,T8_GT80_LE100_CB_O,esriFieldTypeInteger,T8_GT80_LE100_CB_O,b1g_joGbEOvFDroC,Owner occupied AND household income is greater than 80% but less than or equal to 100% of HAMFI AND housing cost burden is greater than 30%,matched,
b1g_joGbEOvFDroC,T8_GT80_LE100_CB_R,esriFieldTypeInteger,T8_GT80_LE100_CB_R,b1g_joGbEOvFDroC,Renter occupied AND household income is greater than 80% but less than or equal to 100% of HAMFI AND housing cost burden is greater than 30%,matched,
b1g_joGbEOvFDroC,T8_GT80_LE100_CB,esriFieldTypeInteger,T8_GT80_LE100_CB,b1g_joGbEOvFDroC,Household income is greater than 80% but less than or equal to 100% of HAMFI AND housing cost burden is greater than 30%,matched,
b1g_joGbEOvFDroC,T10_GT30_LE50_OC_O,esriFieldTypeInteger,T10_GT30_LE50_OC_O,b1g_joGbEOvFDroC,Owner occupied AND persons per room is greater than 1 AND household income is greater than 30% but less than or equal to 50% of HAMFI,matched,
b1g_joGbEOvFDroC,T10_GT30_LE50_OC_R,esriFieldTypeInteger,T10_GT30_LE50_OC_R,b1g_joGbEOvFDroC,Renter occupied AND persons per room is greater than 1 AND household income is greater than 30% but less than or equal to 50% of HAMFI,matched,
b1g_joGbEOvFDroC,T10_GT30_LE50_OC,esriFieldTypeInteger,T10_GT30_LE50_OC,b1g_joGbEOvFDroC,Persons per room is greater than 1 AND household income is greater than 30% but less than or equal to 50% of HAMFI,matched,
b1g_joGbEOvFDroC,T10_GT50_LE80_OC_O,esriFieldTypeInteger,T10_GT50_LE80_OC_O,b1g_joGbEOvFDroC,Owner occupied AND persons per room is greater than 1 AND household income is greater than 50% but less than or equal to 80% of HAMFI,matched,
b1g_joGbEOvFDroC,T10_GT50_LE80_OC_R,esriFieldTypeInteger,T10_GT50_LE80_OC_R,b1g_joGbEOvFDroC,Renter occupied AND persons per room is greater than 1 AND household income is greater than 50% but less than or equal to 80% of HAMFI,matched,
b1g_joGbEOvFDroC,T10_GT50_LE80_OC,esriFieldTypeInteger,T10_GT50_LE80_OC,b1g_joGbEOvFDroC,Persons per room is greater than 1 AND household income is greater than 50% but less than or equal to 80% of HAMFI,matched,
b1g_joGbEOvFDroC,T10_GT80_LE100_OC_O,esriFieldTypeInteger,T10_GT80_LE100_OC_O,b1g_joGbEOvFDroC,Owner occupied AND persons per room is greater than 1 AND household income is greater than 80% but less than or equal to 100% of HAMFI,matched,
